accX,accY,accZ,label
-2.3000000000000003,5.4,7.7,andando
-2.1,5.300000000000001,7.800000000000001,andando
-2.1,5.300000000000001,7.800000000000001,andando
-2.3000000000000003,5.2,8.1,andando
-2.3000000000000003,5.2,8.0,andando
-2.2,5.1000000000000005,7.7,andando
-2.2,5.2,7.4,andando
-2.1,5.2,7.2,andando
-1.8,5.1000000000000005,7.6000000000000005,andando
-1.8,5.1000000000000005,7.6000000000000005,andando
-1.6,5.0,8.1,andando
-1.6,5.0,8.200000000000001,andando
-1.6,5.0,8.200000000000001,andando
-1.7000000000000002,5.0,8.1,andando
-1.7000000000000002,5.0,8.0,andando
-1.7000000000000002,5.0,8.0,andando
-1.7000000000000002,5.1000000000000005,7.9,andando
-1.8,5.1000000000000005,8.3,andando
-1.9000000000000001,5.1000000000000005,8.700000000000001,andando
-2.2,5.0,9.0,andando
-2.3000000000000003,4.9,9.0,andando
-2.1,5.2,8.5,andando
-2.1,5.2,8.5,andando
-2.4000000000000004,5.2,8.1,andando
-2.4000000000000004,5.2,8.1,andando
-2.4000000000000004,5.1000000000000005,8.700000000000001,andando
-2.4000000000000004,5.1000000000000005,9.0,andando
-2.5,5.0,9.1,andando
-2.6,5.1000000000000005,8.8,andando
-2.5,5.1000000000000005,8.3,andando
-2.4000000000000004,5.1000000000000005,7.5,andando
-2.4000000000000004,5.1000000000000005,7.5,andando
-2.5,5.2,7.6000000000000005,andando
-2.6,5.1000000000000005,7.800000000000001,andando
-2.6,5.1000000000000005,7.9,andando
-2.5,5.1000000000000005,7.9,andando
-2.4000000000000004,5.1000000000000005,7.7,andando
-2.3000000000000003,5.0,7.300000000000001,andando
-2.3000000000000003,5.0,7.300000000000001,andando
-2.5,5.1000000000000005,7.2,andando
-2.5,5.1000000000000005,7.2,andando
-2.7,5.2,7.300000000000001,andando
-2.9000000000000004,5.2,7.800000000000001,andando
-2.7,5.2,8.4,andando
-2.7,5.2,8.4,andando
-2.4000000000000004,5.4,8.700000000000001,andando
-2.5,5.4,8.6,andando
-2.6,5.4,8.4,andando
-2.6,5.4,8.200000000000001,andando
-2.6,5.4,8.1,andando
-2.6,5.4,8.200000000000001,andando
-2.6,5.4,8.4,andando
-2.2,5.300000000000001,8.4,andando
-2.2,5.300000000000001,8.4,andando
-1.9000000000000001,5.4,8.0,andando
-1.9000000000000001,5.4,7.7,andando
-2.1,5.4,7.7,andando
-2.2,5.4,7.9,andando
-2.2,5.300000000000001,8.1,andando
-2.0,5.4,8.200000000000001,andando
-2.0,5.4,8.200000000000001,andando
-2.1,5.5,7.9,andando
-2.1,5.5,7.800000000000001,andando
-2.1,5.5,7.9,andando
-2.0,5.5,8.200000000000001,andando
-2.0,5.5,8.200000000000001,andando
-1.7000000000000002,5.5,8.6,andando
-1.7000000000000002,5.6000000000000005,8.5,andando
-1.6,5.6000000000000005,8.1,andando
-1.5,5.7,7.7,andando
-1.3,5.9,7.300000000000001,andando
-1.2000000000000002,5.9,7.2,andando
-1.5,5.9,7.800000000000001,andando
-1.5,5.9,7.800000000000001,andando
-1.5,5.9,8.0,andando
-1.2000000000000002,6.0,7.6000000000000005,andando
-1.1,6.0,7.300000000000001,andando
-1.2000000000000002,6.0,7.2,andando
-1.3,6.0,7.4,andando
-1.4000000000000001,6.0,7.800000000000001,andando
-1.4000000000000001,6.0,8.200000000000001,andando
-1.3,6.1000000000000005,8.200000000000001,andando
-1.3,6.1000000000000005,8.200000000000001,andando
-1.4000000000000001,6.1000000000000005,7.5,andando
-1.4000000000000001,6.1000000000000005,7.2,andando
-1.5,6.2,7.2,andando
-1.7000000000000002,6.1000000000000005,7.4,andando
-1.8,6.0,7.800000000000001,andando
-2.0,5.9,8.200000000000001,andando
-2.0,5.9,8.200000000000001,andando
-2.0,5.9,8.200000000000001,andando
-2.1,5.9,7.800000000000001,andando
-2.8000000000000003,6.1000000000000005,7.6000000000000005,andando
-2.8000000000000003,6.1000000000000005,7.6000000000000005,andando
-3.2,6.0,7.9,andando
-3.2,6.0,7.9,andando
-3.0,6.0,8.1,andando
-2.7,6.1000000000000005,7.800000000000001,andando
-2.6,6.2,7.6000000000000005,andando
-2.6,6.300000000000001,7.300000000000001,andando
-2.6,6.4,6.9,andando
-2.7,6.4,6.7,andando
-3.0,6.300000000000001,6.800000000000001,andando
-4.0,5.800000000000001,8.4,andando
-4.0,5.800000000000001,8.4,andando
-3.1,5.5,9.4,andando
-2.6,5.6000000000000005,9.200000000000001,andando
-2.3000000000000003,5.5,8.700000000000001,andando
-2.3000000000000003,5.300000000000001,8.3,andando
-2.6,5.2,7.9,andando
-3.2,5.1000000000000005,7.6000000000000005,andando
-3.2,5.1000000000000005,7.6000000000000005,andando
-3.6,4.800000000000001,7.800000000000001,andando
-3.7,4.6000000000000005,7.7,andando
-3.6,4.5,7.6000000000000005,andando
-3.6,4.5,7.6000000000000005,andando
-3.8000000000000003,4.5,7.6000000000000005,andando
-4.0,4.5,7.6000000000000005,andando
-4.2,4.5,7.6000000000000005,andando
-4.4,4.3,7.6000000000000005,andando
-4.5,4.3,7.4,andando
-4.3,4.3,7.1000000000000005,andando
-3.9000000000000004,4.5,6.7,andando
-3.4000000000000004,4.6000000000000005,6.2,andando
